Lane,Tile,Cluster density (k/mm2),Cluster density Pf (k/mm2),Clusters (k),Clusters Pf (k),% Pass Filter,Phasing R1,Prephasing R1,Phasing R2,Prephasing R2,Percent aligned R1,Percent aligned R2
1,1101,1223.6,1072.9,781.5,685.2,87.7,0.001,0.000,0.000,0.000,0.0,0.0
1,1102,1214.0,1054.0,765.1,664.2,86.8,0.001,0.000,0.000,0.000,0.0,0.0
1,1103,1218.5,1063.7,771.0,673.1,87.3,0.001,0.000,0.000,0.000,0.0,0.0
1,1104,1192.1,1048.6,761.5,669.8,88.0,0.001,0.000,0.000,0.000,0.0,0.0
1,1105,1223.8,1082.6,783.1,692.8,88.5,0.001,0.000,0.000,0.000,0.0,0.0
1,1106,1224.0,1074.5,782.5,687.0,87.8,0.000,0.000,0.000,0.000,0.0,0.0
1,1107,1212.5,1058.7,774.8,676.5,87.3,0.001,0.000,0.000,0.000,0.0,0.0
1,1108,1223.6,1063.7,776.7,675.1,86.9,0.001,0.000,0.000,0.000,0.0,0.0
1,1109,1226.9,1071.3,783.7,684.3,87.3,0.001,0.000,0.000,0.000,0.0,0.0
1,1110,1232.8,1084.1,789.1,693.9,87.9,0.001,0.000,0.000,0.000,0.0,0.0
1,1111,1226.5,1060.4,767.6,663.6,86.5,0.001,0.000,0.000,0.000,0.0,0.0
1,1112,1239.8,1091.6,792.2,697.5,88.0,0.001,0.000,0.000,0.000,0.0,0.0
1,1113,1192.1,1018.2,736.1,628.7,85.4,0.001,0.000,0.000,0.000,0.0,0.0
1,1114,1234.0,1059.8,781.1,670.9,85.9,0.001,0.000,0.000,0.000,0.0,0.0
1,1115,1239.5,1061.7,783.0,670.7,85.7,0.001,0.000,0.000,0.000,0.0,0.0
1,1116,1206.2,1015.5,769.2,647.6,84.2,0.001,0.000,0.000,0.000,0.0,0.0
1,1117,1236.1,1067.6,784.6,677.7,86.4,0.001,0.000,0.000,0.000,0.0,0.0
1,1118,1204.1,1023.3,765.3,650.4,85.0,0.001,0.000,0.000,0.000,0.0,0.0
1,1119,1233.9,1052.5,770.4,657.2,85.3,0.002,0.000,0.000,0.000,0.0,0.0
1,2101,1137.1,952.2,695.4,582.3,83.7,0.000,0.000,0.000,0.000,0.0,0.0
1,2102,1219.9,1039.8,767.2,654.0,85.2,0.001,0.000,0.000,0.000,0.0,0.0
1,2103,1185.4,991.9,747.9,625.9,83.7,0.001,0.000,0.000,0.000,0.0,0.0
1,2104,1225.3,1052.7,768.7,660.4,85.9,0.001,0.000,0.000,0.000,0.0,0.0
1,2105,1223.1,1053.6,766.4,660.1,86.1,0.001,0.000,0.000,0.000,0.0,0.0
1,2106,1216.2,1033.9,767.5,652.5,85.0,0.001,0.000,0.000,0.000,0.0,0.0
1,2107,1223.3,1050.3,766.0,657.7,85.9,0.001,0.000,0.000,0.000,0.0,0.0
1,2108,1238.7,1080.9,779.5,680.2,87.3,0.001,0.000,0.000,0.000,0.0,0.0
1,2109,1217.4,1023.2,767.1,644.8,84.1,0.001,0.000,0.000,0.000,0.0,0.0
1,2110,1179.9,970.7,737.8,607.0,82.3,0.001,0.000,0.000,0.000,0.0,0.0
1,2111,1234.6,1037.4,774.9,651.1,84.0,0.001,0.000,0.000,0.000,0.0,0.0
1,2112,1226.8,1029.0,770.9,646.6,83.9,0.000,0.000,0.000,0.000,0.0,0.0
1,2113,1237.6,1052.7,781.2,664.5,85.1,0.001,0.000,0.000,0.000,0.0,0.0
1,2114,1234.5,1062.6,780.7,672.0,86.1,0.001,0.000,0.000,0.000,0.0,0.0
1,2115,1229.3,1012.3,771.4,635.2,82.3,0.001,0.000,0.000,0.000,0.0,0.0
1,2116,1245.0,1052.8,785.8,664.5,84.6,0.001,0.000,0.000,0.000,0.0,0.0
1,2117,1221.1,1029.4,765.9,645.7,84.3,0.001,0.000,0.000,0.000,0.0,0.0
1,2118,1245.7,1051.7,785.8,663.5,84.4,0.001,0.000,0.000,0.000,0.0,0.0
1,2119,1235.9,1025.2,768.2,637.2,82.9,0.001,0.000,0.000,0.000,0.0,0.0
